S/N,HOSTEL NAME,ROOM TYPE,PRICE (GHS),DISTANCE FROM CAMPUS(min walk to Campus),WATER,WIFI,SECURITY,TV ROOM,STUDY ROOM
128,AMEN MAIN,3 in 1,7200,12,Yes,No,Yes,Yes,No
128,AMEN MAIN,2 in 1,7900,12,Yes,No,Yes,Yes,No
128,AMEN MAIN,1 in 1,9200,12,Yes,No,Yes,Yes,No
129,BLUE ARK,3 in 1,7400,7,Yes,No,Yes,Yes,No
129,BLUE ARK,2 in 1,9300,7,Yes,No,Yes,Yes,No
130,CASA MARIA,4 in 1,7000,8,No,Yes,No,No,No
130,CASA MARIA,3 in 1,7600,8,No,Yes,No,No,No
130,CASA MARIA,2 in 1,8200,8,No,Yes,No,No,No
130,CASA MARIA,1 in 1,9800,8,No,Yes,No,No,No
131,DESTINY VIEW,3 in 1,5600,45,Yes,No,No,No,Yes
131,DESTINY VIEW,2 in 1,7700,45,Yes,No,No,No,Yes
131,DESTINY VIEW,1 in 1,9300,45,Yes,No,No,No,Yes
132,CANAM 3 IN 1 HOSTEL,4 in 1,5400,7,Yes,Yes,Yes,No,Yes
132,CANAM 3 IN 1 HOSTEL,3 in 1,9400,7,Yes,Yes,Yes,No,Yes
133,BANIVILLAS,3 in 1,7500,35,Yes,Yes,Yes,No,Yes
133,BANIVILLAS,2 in 1,8500,35,Yes,Yes,Yes,No,Yes
134,HONESTY STUDENTS',4 in 1,5600,25,Yes,No,Yes,No,No
134,HONESTY STUDENTS',3 in 1,6600,25,Yes,No,Yes,No,No
134,HONESTY STUDENTS',2 in 1,6800,25,Yes,No,Yes,No,No
134,HONESTY STUDENTS',1 in 1,7700,25,Yes,No,Yes,No,No
135,DAKENS INTERNATIONAL,4 in 1,5800,14,Yes,Yes,Yes,No,No
135,DAKENS INTERNATIONAL,3 in 1,7600,14,Yes,Yes,Yes,No,No
135,DAKENS INTERNATIONAL,2 in 1,7900,14,Yes,Yes,Yes,No,No
135,DAKENS INTERNATIONAL,1 in 1,9400,14,Yes,Yes,Yes,No,No
136,JITAL,2 in 1,5500,50,Yes,No,Yes,No,No
136,JITAL,1 in 1,9000,50,Yes,No,Yes,No,No
137,GHANA HOSTELS,4 in 1,6800,14,No,No,Yes,No,Yes
137,GHANA HOSTELS,3 in 1,8200,14,No,No,Yes,No,Yes
137,GHANA HOSTELS,2 in 1,9200,14,No,No,Yes,No,Yes
138,ESPERSTAR (IPS),4 in 1,4600,9,Yes,No,Yes,No,No
138,ESPERSTAR (IPS),3 in 1,6200,9,Yes,No,Yes,No,No
138,ESPERSTAR (IPS),2 in 1,7100,9,Yes,No,Yes,No,No
138,ESPERSTAR (IPS),1 in 1,9400,9,Yes,No,Yes,No,No
139,GAZA ANNEX,4 in 1,5100,20,Yes,Yes,Yes,No,No
139,GAZA ANNEX,2 in 1,5900,20,Yes,Yes,Yes,No,No
140,ROYAL GATE HOSTEL LTD,4 in 1,3800,4,No,No,Yes,Yes,No
140,ROYAL GATE HOSTEL LTD,3 in 1,6300,4,No,No,Yes,Yes,No
140,ROYAL GATE HOSTEL LTD,2 in 1,7800,4,No,No,Yes,Yes,No
140,ROYAL GATE HOSTEL LTD,1 in 1,8800,4,No,No,Yes,Yes,No
141,JITA HOSTEL,4 in 1,7600,6,Yes,No,No,No,Yes
141,JITA HOSTEL,3 in 1,8000,6,Yes,No,No,No,Yes
141,JITA HOSTEL,2 in 1,9000,6,Yes,No,No,No,Yes
142,WHITPAM A,4 in 1,7400,10,Yes,Yes,Yes,No,Yes
142,WHITPAM A,2 in 1,9800,10,Yes,Yes,Yes,No,Yes
143,CHRISTLIKE,2 in 1,6300,4,No,No,No,No,No
143,CHRISTLIKE,1 in 1,8000,4,No,No,No,No,No
144,CRESTHAVEN,3 in 1,3900,14,Yes,No,Yes,No,Yes
144,CRESTHAVEN,2 in 1,9200,14,Yes,No,Yes,No,Yes
144,CRESTHAVEN,1 in 1,9600,14,Yes,No,Yes,No,Yes
145,GEORGIA HOSTEL,4 in 1,5300,25,No,Yes,Yes,Yes,No
145,GEORGIA HOSTEL,3 in 1,6000,25,No,Yes,Yes,Yes,No
145,GEORGIA HOSTEL,2 in 1,7700,25,No,Yes,Yes,Yes,No
146,RICHBAD,2 in 1,4200,14,Yes,No,Yes,Yes,No
146,RICHBAD,1 in 1,8200,14,Yes,No,Yes,Yes,No
147,ULTIMATE,4 in 1,4900,10,Yes,Yes,Yes,No,Yes
147,ULTIMATE,2 in 1,7800,10,Yes,Yes,Yes,No,Yes
148,AMA KONADU,3 in 1,7600,14,No,No,Yes,Yes,Yes
148,AMA KONADU,2 in 1,8300,14,No,No,Yes,Yes,Yes
148,AMA KONADU,1 in 1,9400,14,No,No,Yes,Yes,Yes
149,UNCOMPLETED HOSTEL,4 in 1,7600,14,Yes,Yes,Yes,No,No
149,UNCOMPLETED HOSTEL,3 in 1,7800,14,Yes,Yes,Yes,No,No
149,UNCOMPLETED HOSTEL,2 in 1,8200,14,Yes,Yes,Yes,No,No
149,UNCOMPLETED HOSTEL,1 in 1,8800,14,Yes,Yes,Yes,No,No
150,ZORO 1,2 in 1,5400,35,Yes,Yes,Yes,No,No
150,ZORO 1,1 in 1,7800,35,Yes,Yes,Yes,No,No
151,MORNING STAR PALACE,2 in 1,6400,6,Yes,No,No,Yes,No
151,MORNING STAR PALACE,1 in 1,6800,6,Yes,No,No,Yes,No
152,POLICE,3 in 1,7900,14,Yes,Yes,Yes,No,Yes
152,POLICE,2 in 1,8200,14,Yes,Yes,Yes,No,Yes
153,UNNAMED HOSTEL,4 in 1,6800,14,Yes,Yes,Yes,No,No
153,UNNAMED HOSTEL,2 in 1,8000,14,Yes,Yes,Yes,No,No
154,MAJESTIC,4 in 1,6200,14,No,No,Yes,Yes,Yes
154,MAJESTIC,3 in 1,6800,14,No,No,Yes,Yes,Yes
154,MAJESTIC,2 in 1,7100,14,No,No,Yes,Yes,Yes
155,SLOT 2,4 in 1,4400,14,No,No,Yes,No,Yes
155,SLOT 2,3 in 1,5400,14,No,No,Yes,No,Yes
155,SLOT 2,2 in 1,7000,14,No,No,Yes,No,Yes
155,SLOT 2,1 in 1,8000,14,No,No,Yes,No,Yes
156,WISDOM SEEKERS,3 in 1,6000,14,Yes,No,Yes,Yes,Yes
156,WISDOM SEEKERS,2 in 1,7400,14,Yes,No,Yes,Yes,Yes
156,WISDOM SEEKERS,1 in 1,9600,14,Yes,No,Yes,Yes,Yes
157,QUANS VILLA,3 in 1,4200,14,Yes,No,Yes,No,Yes
157,QUANS VILLA,2 in 1,6200,14,Yes,No,Yes,No,Yes
157,QUANS VILLA,1 in 1,9800,14,Yes,No,Yes,No,Yes
158,FNF HOSTEL,4 in 1,6900,30,No,Yes,No,Yes,No
158,FNF HOSTEL,3 in 1,7800,30,No,Yes,No,Yes,No
159,PERFECT LINES,2 in 1,4200,14,Yes,No,Yes,Yes,Yes
159,PERFECT LINES,1 in 1,7600,14,Yes,No,Yes,Yes,Yes
160,MR. KWASI HOSTEL,4 in 1,7200,14,Yes,Yes,Yes,No,No
160,MR. KWASI HOSTEL,2 in 1,7700,14,Yes,Yes,Yes,No,No
161,YELLOW HOUSE,4 in 1,3200,12,Yes,Yes,No,No,Yes
161,YELLOW HOUSE,3 in 1,7100,12,Yes,Yes,No,No,Yes
161,YELLOW HOUSE,2 in 1,7800,12,Yes,Yes,No,No,Yes
161,YELLOW HOUSE,1 in 1,8700,12,Yes,Yes,No,No,Yes
162,ABANK VILLAGE,4 in 1,7000,14,No,No,No,Yes,No
162,ABANK VILLAGE,3 in 1,7600,14,No,No,No,Yes,No
162,ABANK VILLAGE,2 in 1,7800,14,No,No,No,Yes,No
162,ABANK VILLAGE,1 in 1,8300,14,No,No,No,Yes,No
163,SUMMER PARK,4 in 1,6000,14,Yes,No,No,No,No
163,SUMMER PARK,2 in 1,7900,14,Yes,No,No,No,No
164,B&B HOSTEL,3 in 1,7700,14,Yes,Yes,No,Yes,Yes
164,B&B HOSTEL,2 in 1,8200,14,Yes,Yes,No,Yes,Yes
165,GLORY VILLE,4 in 1,6800,14,Yes,No,Yes,No,Yes
165,GLORY VILLE,3 in 1,7400,14,Yes,No,Yes,No,Yes
165,GLORY VILLE,2 in 1,9400,14,Yes,No,Yes,No,Yes
165,GLORY VILLE,1 in 1,9500,14,Yes,No,Yes,No,Yes
166,ASANTEWAA VILLA,4 in 1,5600,14,Yes,Yes,No,Yes,No
166,ASANTEWAA VILLA,3 in 1,7800,14,Yes,Yes,No,Yes,No
167,MAJESTY,3 in 1,3600,14,Yes,Yes,Yes,No,No
167,MAJESTY,2 in 1,8300,14,Yes,Yes,Yes,No,No
167,MAJESTY,1 in 1,8900,14,Yes,Yes,Yes,No,No
168,CANAM GOLD,4 in 1,8400,7,No,No,Yes,No,Yes
168,CANAM GOLD,3 in 1,8600,7,No,No,Yes,No,Yes
169,CANAM ANNEX,4 in 1,4500,14,No,Yes,No,Yes,Yes
169,CANAM ANNEX,3 in 1,5500,14,No,Yes,No,Yes,Yes
169,CANAM ANNEX,2 in 1,7600,14,No,Yes,No,Yes,Yes
169,CANAM ANNEX,1 in 1,9000,14,No,Yes,No,Yes,Yes
170,GLORY BE TO GOD (MAIN),2 in 1,4200,14,Yes,No,No,No,No
170,GLORY BE TO GOD (MAIN),1 in 1,5900,14,Yes,No,No,No,No
171,YAHOODA,3 in 1,6400,13,Yes,No,Yes,No,Yes
171,YAHOODA,2 in 1,7100,13,Yes,No,Yes,No,Yes
172,LIBERTY,4 in 1,6900,14,No,Yes,No,Yes,No
172,LIBERTY,2 in 1,8000,14,No,Yes,No,Yes,No
173,BANNANT MANOR LIMITED,4 in 1,6300,8,Yes,Yes,No,Yes,No
173,BANNANT MANOR LIMITED,3 in 1,6800,8,Yes,Yes,No,Yes,No
173,BANNANT MANOR LIMITED,2 in 1,7400,8,Yes,Yes,No,Yes,No
173,BANNANT MANOR LIMITED,1 in 1,7800,8,Yes,Yes,No,Yes,No
174,ANDREW HOSTEL,4 in 1,3600,14,Yes,No,No,No,No
174,ANDREW HOSTEL,3 in 1,8000,14,Yes,No,No,No,No
174,ANDREW HOSTEL,2 in 1,8400,14,Yes,No,No,No,No
175,R & B HOSTEL,4 in 1,4200,6,No,No,Yes,Yes,Yes
175,R & B HOSTEL,3 in 1,6000,6,No,No,Yes,Yes,Yes
175,R & B HOSTEL,2 in 1,7100,6,No,No,Yes,Yes,Yes
175,R & B HOSTEL,1 in 1,9100,6,No,No,Yes,Yes,Yes
176,MORNING STAR PALACE (ANNEX),4 in 1,3400,14,Yes,No,Yes,Yes,No
176,MORNING STAR PALACE (ANNEX),3 in 1,3700,14,Yes,No,Yes,Yes,No
176,MORNING STAR PALACE (ANNEX),2 in 1,5900,14,Yes,No,Yes,Yes,No
176,MORNING STAR PALACE (ANNEX),1 in 1,6900,14,Yes,No,Yes,Yes,No
177,AFIRIM,3 in 1,5400,2,Yes,No,Yes,No,Yes
177,AFIRIM,2 in 1,6600,2,Yes,No,Yes,No,Yes
177,AFIRIM,1 in 1,8000,2,Yes,No,Yes,No,Yes
178,JETARL,4 in 1,6100,14,No,No,Yes,No,No
178,JETARL,3 in 1,7900,14,No,No,Yes,No,No
178,JETARL,2 in 1,8600,14,No,No,Yes,No,No
179,KINGSDALE,3 in 1,5600,14,No,No,No,No,No
179,KINGSDALE,2 in 1,7400,14,No,No,No,No,No
180,HOSTEL (NO NAME) 1,4 in 1,5000,14,Yes,No,Yes,Yes,No
180,HOSTEL (NO NAME) 1,3 in 1,5800,14,Yes,No,Yes,Yes,No
180,HOSTEL (NO NAME) 1,2 in 1,6900,14,Yes,No,Yes,Yes,No
181,DR. NAP ARTHUR,4 in 1,7000,10,No,No,Yes,Yes,No
181,DR. NAP ARTHUR,3 in 1,7600,10,No,No,Yes,Yes,No
181,DR. NAP ARTHUR,2 in 1,8700,10,No,No,Yes,Yes,No
181,DR. NAP ARTHUR,1 in 1,9400,10,No,No,Yes,Yes,No
182,PIVA-G,4 in 1,4400,10,Yes,No,Yes,No,Yes
182,PIVA-G,3 in 1,6100,10,Yes,No,Yes,No,Yes
183,POWER HOSTEL,4 in 1,4800,50,Yes,No,No,No,No
183,POWER HOSTEL,2 in 1,9600,50,Yes,No,No,No,No
184,APOSTLES,3 in 1,8800,8,Yes,No,Yes,Yes,No
184,APOSTLES,2 in 1,9500,8,Yes,No,Yes,Yes,No
185,SAGA CITY,4 in 1,3800,14,Yes,No,Yes,No,No
185,SAGA CITY,3 in 1,7400,14,Yes,No,Yes,No,No
185,SAGA CITY,2 in 1,8600,14,Yes,No,Yes,No,No
186,FOT HOSTEL,4 in 1,7400,5,No,No,Yes,No,No
186,FOT HOSTEL,3 in 1,9200,5,No,No,Yes,No,No
187,CHRIST CITADEL,4 in 1,7000,5,Yes,No,Yes,No,Yes
187,CHRIST CITADEL,3 in 1,7900,5,Yes,No,Yes,No,Yes
187,CHRIST CITADEL,2 in 1,9200,5,Yes,No,Yes,No,Yes
188,KATE VILLA,4 in 1,5000,17,Yes,Yes,No,No,No
188,KATE VILLA,3 in 1,7600,17,Yes,Yes,No,No,No
188,KATE VILLA,2 in 1,7700,17,Yes,Yes,No,No,No
188,KATE VILLA,1 in 1,8200,17,Yes,Yes,No,No,No
189,B-MARK,4 in 1,5200,13,Yes,No,Yes,No,Yes
189,B-MARK,3 in 1,7800,13,Yes,No,Yes,No,Yes
189,B-MARK,2 in 1,8000,13,Yes,No,Yes,No,Yes
189,B-MARK,1 in 1,9000,13,Yes,No,Yes,No,Yes
190,DORCHEST,3 in 1,6600,14,Yes,No,No,Yes,No
190,DORCHEST,2 in 1,8200,14,Yes,No,No,Yes,No
190,DORCHEST,1 in 1,9100,14,Yes,No,No,Yes,No
191,SAMATHEL,2 in 1,7700,13,Yes,Yes,Yes,Yes,No
191,SAMATHEL,1 in 1,8100,13,Yes,Yes,Yes,Yes,No
192,VICTORY TOWERS,3 in 1,6300,3,Yes,No,No,Yes,No
192,VICTORY TOWERS,2 in 1,7200,3,Yes,No,No,Yes,No
193,K&N GOLDEN TREASURE,4 in 1,6300,4,Yes,Yes,Yes,No,No
193,K&N GOLDEN TREASURE,3 in 1,6800,4,Yes,Yes,Yes,No,No
193,K&N GOLDEN TREASURE,2 in 1,8000,4,Yes,Yes,Yes,No,No
194,NANA AGYEMAN HOSTEL,2 in 1,8600,14,Yes,Yes,No,No,Yes
194,NANA AGYEMAN HOSTEL,1 in 1,8900,14,Yes,Yes,No,No,Yes
195,SHOWERS STUDENTS HOSTEL,4 in 1,3600,5,Yes,No,No,No,No
195,SHOWERS STUDENTS HOSTEL,3 in 1,6800,5,Yes,No,No,No,No
196,SERWAA NYARKO HOSTEL,2 in 1,5900,14,Yes,No,No,No,Yes
196,SERWAA NYARKO HOSTEL,1 in 1,7400,14,Yes,No,No,No,Yes
197,PRESIDENTIAL SQUARE,2 in 1,6200,7,No,Yes,No,No,No
197,PRESIDENTIAL SQUARE,1 in 1,7500,7,No,Yes,No,No,No
198,STANDARD HOSTEL,3 in 1,6800,16,Yes,No,Yes,No,Yes
198,STANDARD HOSTEL,2 in 1,7300,16,Yes,No,Yes,No,Yes
199,AMERICAN HOSTEL,3 in 1,3600,4,No,No,Yes,No,No
199,AMERICAN HOSTEL,2 in 1,8200,4,No,No,Yes,No,No
200,ADWOA ACHIAA,4 in 1,4600,10,No,No,No,No,No
200,ADWOA ACHIAA,2 in 1,6600,10,No,No,No,No,No
201,PRESIDENTIAL LODGE,4 in 1,8000,10,Yes,No,Yes,No,No
201,PRESIDENTIAL LODGE,3 in 1,8600,10,Yes,No,Yes,No,No
202,BK HOSTEL,4 in 1,7800,25,Yes,No,Yes,No,Yes
202,BK HOSTEL,2 in 1,9600,25,Yes,No,Yes,No,Yes
203,AMA ODE,2 in 1,3600,14,No,No,Yes,No,Yes
203,AMA ODE,1 in 1,7800,14,No,No,Yes,No,Yes
204,HARVARD HOSTEL,4 in 1,5800,40,Yes,No,Yes,No,No
204,HARVARD HOSTEL,3 in 1,7000,40,Yes,No,Yes,No,No
204,HARVARD HOSTEL,2 in 1,7800,40,Yes,No,Yes,No,No
205,HOSTEL UNIQUE,4 in 1,7000,35,Yes,Yes,Yes,No,Yes
205,HOSTEL UNIQUE,2 in 1,9200,35,Yes,Yes,Yes,No,Yes
206,MOUNTAIN VIEW,4 in 1,7000,8,Yes,Yes,Yes,Yes,Yes
206,MOUNTAIN VIEW,3 in 1,8000,8,Yes,Yes,Yes,Yes,Yes
206,MOUNTAIN VIEW,2 in 1,8400,8,Yes,Yes,Yes,Yes,Yes
206,MOUNTAIN VIEW,1 in 1,8600,8,Yes,Yes,Yes,Yes,Yes
207,PENTAGON HOSTEL,4 in 1,6900,4,Yes,Yes,Yes,No,No
207,PENTAGON HOSTEL,3 in 1,8500,4,Yes,Yes,Yes,No,No
208,SIMON SEKYERE,4 in 1,6600,14,Yes,Yes,No,No,No
208,SIMON SEKYERE,3 in 1,7000,14,Yes,Yes,No,No,No
208,SIMON SEKYERE,2 in 1,8200,14,Yes,Yes,No,No,No
208,SIMON SEKYERE,1 in 1,9800,14,Yes,Yes,No,No,No
209,A&D HOSTEL,3 in 1,5200,5,Yes,No,Yes,Yes,No
209,A&D HOSTEL,2 in 1,6400,5,Yes,No,Yes,Yes,No
210,ANDROID HOSTEL,4 in 1,5000,40,Yes,No,No,Yes,No
210,ANDROID HOSTEL,2 in 1,7100,40,Yes,No,No,Yes,No
211,TRIBEL HOSTEL,3 in 1,5500,9,Yes,No,No,Yes,No
211,TRIBEL HOSTEL,2 in 1,6000,9,Yes,No,No,Yes,No
211,TRIBEL HOSTEL,1 in 1,7900,9,Yes,No,No,Yes,No
212,ADJANI HOSTEL,3 in 1,8200,14,Yes,Yes,No,No,No
212,ADJANI HOSTEL,2 in 1,8800,14,Yes,Yes,No,No,No
213,ECSTASY HOSTEL,3 in 1,4800,30,Yes,No,No,No,Yes
213,ECSTASY HOSTEL,2 in 1,6200,30,Yes,No,No,No,Yes
214,WASHEY HOSTEL,3 in 1,6000,14,No,Yes,No,No,No
214,WASHEY HOSTEL,2 in 1,7600,14,No,Yes,No,No,No
215,ENYIMA HOSTEL,3 in 1,3600,14,Yes,Yes,Yes,Yes,No
215,ENYIMA HOSTEL,2 in 1,6800,14,Yes,Yes,Yes,Yes,No
215,ENYIMA HOSTEL,1 in 1,8300,14,Yes,Yes,Yes,Yes,No
216,LIENDE VILLE,3 in 1,4000,14,No,Yes,No,No,No
216,LIENDE VILLE,2 in 1,4200,14,No,Yes,No,No,No
216,LIENDE VILLE,1 in 1,6500,14,No,Yes,No,No,No
217,PARADISE REGAINED HOSTEL,3 in 1,5400,14,Yes,Yes,Yes,Yes,No
217,PARADISE REGAINED HOSTEL,2 in 1,9600,14,Yes,Yes,Yes,Yes,No
218,WILLCHRIS HOSTEL,2 in 1,3600,14,Yes,No,Yes,No,No
218,WILLCHRIS HOSTEL,1 in 1,5300,14,Yes,No,Yes,No,No
219,EPHRAIM'S HOSTEL,3 in 1,8000,14,Yes,Yes,Yes,Yes,No
219,EPHRAIM'S HOSTEL,2 in 1,8100,14,Yes,Yes,Yes,Yes,No
220,M HOSTEL,2 in 1,5800,14,Yes,No,Yes,No,No
220,M HOSTEL,1 in 1,7600,14,Yes,No,Yes,No,No
221,AMA SERWAAH HOSTEL,4 in 1,4200,14,Yes,No,Yes,No,Yes
221,AMA SERWAAH HOSTEL,3 in 1,5400,14,Yes,No,Yes,No,Yes
221,AMA SERWAAH HOSTEL,2 in 1,6500,14,Yes,No,Yes,No,Yes
221,AMA SERWAAH HOSTEL,1 in 1,8000,14,Yes,No,Yes,No,Yes
222,BRIMSDOWN,4 in 1,4400,14,Yes,No,Yes,Yes,No
222,BRIMSDOWN,3 in 1,8000,14,Yes,No,Yes,Yes,No
223,AMSTEL HOSTEL,4 in 1,4500,14,No,No,Yes,Yes,No
223,AMSTEL HOSTEL,3 in 1,5600,14,No,No,Yes,Yes,No
223,AMSTEL HOSTEL,2 in 1,6800,14,No,No,Yes,Yes,No
223,AMSTEL HOSTEL,1 in 1,8700,14,No,No,Yes,Yes,No
224,KNS,4 in 1,4900,14,Yes,No,Yes,No,No
224,KNS,2 in 1,8400,14,Yes,No,Yes,No,No
225,CNC HOSTEL,4 in 1,8600,14,Yes,Yes,No,No,No
225,CNC HOSTEL,3 in 1,8800,14,Yes,Yes,No,No,No
226,DAPAMAX HOSTEL,4 in 1,7100,14,Yes,Yes,Yes,No,No
226,DAPAMAX HOSTEL,2 in 1,8500,14,Yes,Yes,Yes,No,No
227,KIRAKEISHA HOSTEL,2 in 1,6900,14,No,No,No,No,No
227,KIRAKEISHA HOSTEL,1 in 1,7800,14,No,No,No,No,No
228,AY HOSTEL,4 in 1,7000,14,Yes,Yes,No,No,No
228,AY HOSTEL,3 in 1,8700,14,Yes,Yes,No,No,No
229,THE HOPES COMMUNITY,4 in 1,4500,6,Yes,No,Yes,No,Yes
229,THE HOPES COMMUNITY,3 in 1,6000,6,Yes,No,Yes,No,Yes
229,THE HOPES COMMUNITY,2 in 1,8800,6,Yes,No,Yes,No,Yes
229,THE HOPES COMMUNITY,1 in 1,9100,6,Yes,No,Yes,No,Yes
230,MOJO 1 HOSTEL,4 in 1,6500,14,Yes,No,No,Yes,Yes
230,MOJO 1 HOSTEL,2 in 1,9200,14,Yes,No,No,Yes,Yes
231,JILAC HOSTEL,4 in 1,5400,14,Yes,No,Yes,No,Yes
231,JILAC HOSTEL,3 in 1,5700,14,Yes,No,Yes,No,Yes
231,JILAC HOSTEL,2 in 1,6600,14,Yes,No,Yes,No,Yes
232,MENA HOSTEL,4 in 1,3200,14,Yes,No,Yes,Yes,Yes
232,MENA HOSTEL,3 in 1,5400,14,Yes,No,Yes,Yes,Yes
232,MENA HOSTEL,2 in 1,7400,14,Yes,No,Yes,Yes,Yes
233,DOWNS VIEW HOSTEL,2 in 1,8800,35,Yes,Yes,Yes,Yes,Yes
233,DOWNS VIEW HOSTEL,1 in 1,9600,35,Yes,Yes,Yes,Yes,Yes
234,VIC HOSTEL,2 in 1,3800,14,No,No,No,No,No
234,VIC HOSTEL,1 in 1,7000,14,No,No,No,No,No
235,MEGHAN HOSTEL,4 in 1,6600,14,No,No,Yes,No,Yes
235,MEGHAN HOSTEL,2 in 1,9800,14,No,No,Yes,No,Yes
236,GREEN HOSTEL,3 in 1,7800,14,Yes,No,Yes,Yes,No
236,GREEN HOSTEL,2 in 1,9600,14,Yes,No,Yes,Yes,No
237,NANA ADOMAH'S HOSTEL,4 in 1,6100,14,Yes,No,No,Yes,Yes
237,NANA ADOMAH'S HOSTEL,3 in 1,6500,14,Yes,No,No,Yes,Yes
237,NANA ADOMAH'S HOSTEL,2 in 1,9500,14,Yes,No,No,Yes,Yes
238,ALGRACE HOSTEL,4 in 1,4900,14,Yes,Yes,No,Yes,Yes
238,ALGRACE HOSTEL,2 in 1,7600,14,Yes,Yes,No,Yes,Yes
239,J & J HOSTEL,4 in 1,5200,14,No,No,No,No,Yes
239,J & J HOSTEL,2 in 1,9100,14,No,No,No,No,Yes
240,SELMA HOSTEL,3 in 1,4400,14,Yes,Yes,Yes,No,Yes
240,SELMA HOSTEL,2 in 1,5800,14,Yes,Yes,Yes,No,Yes
241,IKES HOSTEL,4 in 1,5400,45,No,No,Yes,No,Yes
241,IKES HOSTEL,3 in 1,7000,45,No,No,Yes,No,Yes
241,IKES HOSTEL,2 in 1,8600,45,No,No,Yes,No,Yes
241,IKES HOSTEL,1 in 1,8800,45,No,No,Yes,No,Yes
242,WAF HOSTEL,3 in 1,5500,14,No,Yes,Yes,Yes,No
242,WAF HOSTEL,2 in 1,7700,14,No,Yes,Yes,Yes,No
243,NEW ERA HOSTEL,2 in 1,6800,14,No,Yes,Yes,Yes,Yes
243,NEW ERA HOSTEL,1 in 1,9600,14,No,Yes,Yes,Yes,Yes
244,ANKANA HOSTEL,4 in 1,6600,14,Yes,Yes,Yes,Yes,Yes
244,ANKANA HOSTEL,3 in 1,8100,14,Yes,Yes,Yes,Yes,Yes
245,GAZA HOSTEL,2 in 1,4600,20,Yes,No,Yes,No,No
245,GAZA HOSTEL,1 in 1,7600,20,Yes,No,Yes,No,No
246,ECOWAS HOSTEL,4 in 1,6500,14,Yes,No,Yes,Yes,No
246,ECOWAS HOSTEL,3 in 1,7300,14,Yes,No,Yes,Yes,No
246,ECOWAS HOSTEL,2 in 1,7800,14,Yes,No,Yes,Yes,No
246,ECOWAS HOSTEL,1 in 1,8900,14,Yes,No,Yes,Yes,No
247,CURRENT HOSTEL,4 in 1,4600,14,Yes,Yes,No,Yes,Yes
247,CURRENT HOSTEL,3 in 1,6000,14,Yes,Yes,No,Yes,Yes
247,CURRENT HOSTEL,2 in 1,8800,14,Yes,Yes,No,Yes,Yes
247,CURRENT HOSTEL,1 in 1,9400,14,Yes,Yes,No,Yes,Yes
248,CHRISTIAN HOSTEL,4 in 1,3800,14,Yes,Yes,Yes,Yes,Yes
248,CHRISTIAN HOSTEL,3 in 1,6400,14,Yes,Yes,Yes,Yes,Yes
248,CHRISTIAN HOSTEL,2 in 1,8800,14,Yes,Yes,Yes,Yes,Yes
248,CHRISTIAN HOSTEL,1 in 1,9400,14,Yes,Yes,Yes,Yes,Yes
249,BANGUI,3 in 1,8000,14,Yes,Yes,No,No,No
249,BANGUI,2 in 1,8400,14,Yes,Yes,No,No,No
249,BANGUI,1 in 1,9200,14,Yes,Yes,No,No,No
250,PAREEN COURT,2 in 1,5900,14,Yes,Yes,Yes,Yes,No
250,PAREEN COURT,1 in 1,6900,14,Yes,Yes,Yes,Yes,No
251,KENT CITY,4 in 1,8000,14,Yes,Yes,Yes,No,No
251,KENT CITY,3 in 1,9000,14,Yes,Yes,Yes,No,No
252,LIBREVILLE COURT,4 in 1,6900,14,Yes,Yes,Yes,No,No
252,LIBREVILLE COURT,3 in 1,7400,14,Yes,Yes,Yes,No,No
252,LIBREVILLE COURT,2 in 1,8000,14,Yes,Yes,Yes,No,No
253,KOKROKO HOSTEL,4 in 1,4800,14,Yes,No,Yes,Yes,Yes
253,KOKROKO HOSTEL,3 in 1,5600,14,Yes,No,Yes,Yes,Yes
253,KOKROKO HOSTEL,2 in 1,7100,14,Yes,No,Yes,Yes,Yes
253,KOKROKO HOSTEL,1 in 1,9400,14,Yes,No,Yes,Yes,Yes
254,ASHMORE HOSTEL,4 in 1,6600,14,No,Yes,Yes,Yes,Yes
254,ASHMORE HOSTEL,3 in 1,7600,14,No,Yes,Yes,Yes,Yes
254,ASHMORE HOSTEL,2 in 1,8200,14,No,Yes,Yes,Yes,Yes
254,ASHMORE HOSTEL,1 in 1,9600,14,No,Yes,Yes,Yes,Yes
255,OPN VICTORY,4 in 1,3800,14,Yes,No,No,Yes,Yes
255,OPN VICTORY,3 in 1,8500,14,Yes,No,No,Yes,Yes
256,KINSHASA COURT,2 in 1,4500,14,Yes,Yes,Yes,No,No
256,KINSHASA COURT,1 in 1,7100,14,Yes,Yes,Yes,No,No
257,ASIDO HOSTEL,3 in 1,5200,14,No,Yes,No,No,No
257,ASIDO HOSTEL,2 in 1,7200,14,No,Yes,No,No,No
258,SIR MAX HOSTEL,4 in 1,3400,14,No,Yes,Yes,Yes,No
258,SIR MAX HOSTEL,3 in 1,8200,14,No,Yes,Yes,Yes,No
259,GOLD DUST HOSTEL,2 in 1,4200,14,No,Yes,Yes,No,Yes
259,GOLD DUST HOSTEL,1 in 1,7500,14,No,Yes,Yes,No,Yes
260,AGYAPA HOSTEL,4 in 1,7200,14,Yes,Yes,Yes,Yes,No
260,AGYAPA HOSTEL,2 in 1,8400,14,Yes,Yes,Yes,Yes,No
261,SAINT PETERS,2 in 1,7800,13,No,No,Yes,Yes,Yes
